Defect ID,Module,Summary,Priority,Assignee,Affect Version,Environment,Steps to Recreate,Expected Results,Actual Results,Status
Ushop_001,Signup,Text in OTP code requesting page,Low,Mr. Sanjeewa,V.0.0.1,Testing,1.Enter the URL,Requesting 4 digit code,Requesting 5 digit code.,Done
,,,,,,,2.Access the URL from any browser,,,
,,,,,,,3.Click on signup button,,,
,,,,,,,4. Enter mobile number,,,
,,,,,,,5.Click on confirm button,,,
Ushop_002,Signin,Signing into an account with valid credentials,Medium,Mr. Sanjeewa,V.0.0.1,Testing,1.Enter URL.,User should be navigated to the home page.,User navigated to the store information page.,Done
,,,,,,,2.Click on signin button.,,,
,,,,,,,3.Enter mobile number.,,,
,,,,,,,4.Click on confirm button.,,,
Ushop_003,Signin,Signing into an account with invalid credentials,High,Mr. Sanjeewa,V.0.0.1,Testing,1.Enter URL,User should be received an error message for invalid credentials and ask for signup if want.,"Sending an OTP code to that mobile number and navigate to store information page for creating a new store without asking for signup. Gives error message ""Invalid credentials""only after tring again for the OTP.",To do
,,,,,,,2.Click on signin button.,,,
,,,,,,,3.Enter mobile number.,,,
,,,,,,,4.Click on confirm button.,,,
Ushop_004,Manage Item,Switching to the manage item page.,High,Mr. Sanjeewa,V.0.0.1,Testing,1.Enter valid URL,User should be navigated to manage item page.,"It loads Mobile number requesting page include in login function rather than loading ""manage item""page. (not always) ",Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items"" ",,,
Ushop_005,Discount,Discount status in discount table,Medium,Mr. Sanjeewa,V.0.0.1,Testing,1.Enter valid URL,Discount status should be updated immediately,The discount status remain pending while discounts ongoing.,To do
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Discount"" ",,,
,,,,,,,4.Click on add new button,,,
,,,,,,,5.Create discount,,,
,,,,,,,6.Click on save.,,,
Ushop_006,Discount,Create a new discount without entering a discount name,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not be able to create a discount.,Creating a new discount while remaining that field null.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Discount"" ",,,
,,,,,,,4.Click on add new button,,,
,,,,,,,5. Give discount information missing a discount name,,,
,,,,,,,6.Click on save.,,,
Ushop_007,Discount ,Create a new discount without entering a discount code,Medium,,V.0.0.1,Testing ,1.Enter valid URL,User should not be able to create a discount.,Creating a new discount while remaining that field null.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Discount"" ",,,
,,,,,,,4.Click on add new button,,,
,,,,,,,5. Give discount information missing a discount code,,,
,,,,,,,6.Click on save.,,,
Ushop_008,Disount,Adding a discount percentage,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should be able to add discounts in percentage,Discount has added as an fixed amount. ,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Discount"" ",,,
,,,,,,,4.Click on add new button,,,
,,,,,,,5. Give discount information including discount a discount percentage.,,,
,,,,,,,6.Click on save.,,,
Ushop_009,Discount,Updating discounts,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should be navigated to discount information previously provided and should allow to edit required fields,Navigated to create a new discount. Need to fill all fields again.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Discount"" ",,,
,,,,,,,4.Click on discount name,,,
Ushop_010,Manage Items,Updating item information,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should be navigated to saved item information and should allow to edit required fields,Navigated to create a new item. Need to fill all fields again.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""Manage items"" ",,,
,,,,,,,"4.Click on, item name",,,
Ushop_011,Manage Items,Creating a new item missing the item name,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not be able to create a item and should give an error message,A new item created and added to the table,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items"" tab.",,,
,,,,,,,4.Click on add item button.,,,
,,,,,,,5.Enter valid item information without item name,,,
,,,,,,,6.Click on Submit item button.,,,
Ushop_012,Manage Items,Creating a new item missing the item price,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not be able to create a item and should give an error message,A new item created and added to the table,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items"" tab.",,,
,,,,,,,4.Click on add item button.,,,
,,,,,,,5.Enter valid item information without item price,,,
,,,,,,,6.Click on Submit item button.,,,
Ushop_013,Manage Items,Creating a new item missing the quantity,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not be able to create a item and should give an error message,A new item created and added to the table,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items"" tab.",,,
,,,,,,,4.Click on add item button.,,,
,,,,,,,5.Enter valid item information without item quantity,,,
,,,,,,,6.Click on Submit item button.,,,
Ushop_014,Manage Items,Manage categories- Delete categories,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should be able to delete the categories from the search list. A pop up message to make confirm the deletion,"Delete confirmation message did not pop up. It can see only after removing the existing dialoge box. Any option include in that message(Cancel, delete, remove) do not work.",Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items"" tab.",,,
,,,,,,,4.Click on item name.,,,
,,,,,,,5.Click on manage categories,,,
